loc,lat,lng,Arrest Count,restaurant,school,bus_station,atm,supermarket,park,gym,hospital
"36.62,-91.69",36.62,-91.69,41.0,0,0,0,0,0,0,0,0
"41.64,-87.54",41.64,-87.54,1.0,12,1,2,5,0,13,1,0
"41.64,-87.57",41.64,-87.57,0.0,12,4,0,8,0,11,2,1
"41.64,-87.59",41.64,-87.59,0.0,7,3,0,7,0,4,1,1
"41.64,-87.6",41.64,-87.6,2.0,9,17,0,10,1,3,3,0
"41.64,-87.61",41.64,-87.61,11.0,13,19,0,12,1,3,2,0
"41.64,-87.62",41.64,-87.62,0.0,17,20,0,15,2,8,1,0
"41.65,-87.53",41.65,-87.53,168.0,15,2,1,4,3,10,0,0
"41.65,-87.54",41.65,-87.54,694.0,15,2,2,4,2,11,1,0
"41.65,-87.55",41.65,-87.55,823.0,16,3,1,6,2,14,2,0
"41.65,-87.56",41.65,-87.56,45.0,13,2,1,7,2,7,2,0
"41.65,-87.57",41.65,-87.57,5.0,3,1,0,3,1,6,0,0
"41.65,-87.58",41.65,-87.58,4.0,1,3,0,4,0,5,1,0
"41.65,-87.59",41.65,-87.59,101.0,3,8,0,4,0,4,2,0
"41.65,-87.6",41.65,-87.6,1104.0,7,13,0,6,0,5,2,0
"41.65,-87.61",41.65,-87.61,955.0,8,14,0,8,0,5,2,0
"41.65,-87.62",41.65,-87.62,508.0,5,15,0,6,0,6,1,0
"41.66,-87.54",41.66,-87.54,140.0,14,2,1,4,2,5,1,0
"41.66,-87.55",41.66,-87.55,491.0,14,2,0,4,2,9,1,0
"41.66,-87.56",41.66,-87.56,158.0,9,3,0,5,2,8,1,0
"41.66,-87.57",41.66,-87.57,10.0,2,2,0,1,0,8,0,0
"41.66,-87.58",41.66,-87.58,22.0,1,2,0,1,0,5,0,0
"41.66,-87.59",41.66,-87.59,503.0,1,8,0,1,0,3,2,0
"41.66,-87.6",41.66,-87.6,2546.0,1,9,0,1,0,3,2,0
"41.66,-87.61",41.66,-87.61,1665.0,0,10,0,2,0,6,2,0
"41.66,-87.62",41.66,-87.62,610.0,0,10,0,2,0,7,1,0
"41.66,-87.63",41.66,-87.63,366.0,4,12,0,2,0,6,2,0
"41.66,-87.64",41.66,-87.64,914.0,17,12,0,5,0,4,3,0
"41.66,-87.65",41.66,-87.65,62.0,20,14,0,12,2,7,2,0
"41.67,-87.54",41.67,-87.54,59.0,2,1,0,3,1,3,2,0
"41.67,-87.55",41.67,-87.55,22.0,1,1,0,1,0,8,1,0
"41.67,-87.56",41.67,-87.56,52.0,0,1,0,0,0,7,0,0
"41.67,-87.57",41.67,-87.57,5.0,0,2,0,0,0,7,0,0
"41.67,-87.58",41.67,-87.58,10.0,0,1,0,0,0,6,0,0
"41.67,-87.59",41.67,-87.59,1.0,1,2,0,0,0,2,1,0
"41.67,-87.6",41.67,-87.6,11.0,0,1,0,1,0,4,1,0
"41.67,-87.61",41.67,-87.61,1.0,2,6,0,1,0,6,1,0
"41.67,-87.62",41.67,-87.62,1590.0,3,11,0,2,0,6,2,0
"41.67,-87.63",41.67,-87.63,1454.0,8,17,0,5,1,5,3,0
"41.67,-87.64",41.67,-87.64,2963.0,20,18,0,7,2,8,4,0
"41.67,-87.65",41.67,-87.65,404.0,20,20,0,18,2,11,4,0
"41.67,-87.66",41.67,-87.66,169.0,20,16,0,16,3,12,2,0
"41.68,-87.53",41.68,-87.53,25.0,2,3,0,4,1,6,3,0
"41.68,-87.54",41.68,-87.54,238.0,2,3,0,4,1,5,3,0
"41.68,-87.55",41.68,-87.55,11.0,2,2,0,3,1,6,1,0
"41.68,-87.56",41.68,-87.56,26.0,0,0,1,0,0,8,0,0
"41.68,-87.58",41.68,-87.58,10.0,0,0,0,0,0,6,0,0
"41.68,-87.6",41.68,-87.6,110.0,8,12,1,4,1,14,1,0
"41.68,-87.61",41.68,-87.61,166.0,19,20,1,7,2,18,5,1
"41.68,-87.62",41.68,-87.62,6665.0,20,20,1,8,1,12,8,2
"41.68,-87.63",41.68,-87.63,7021.0,20,20,1,13,3,9,4,3
"41.68,-87.64",41.68,-87.64,4516.0,20,20,0,11,2,8,3,1
"41.68,-87.65",41.68,-87.65,1416.0,20,20,0,14,3,8,3,2
"41.68,-87.66",41.68,-87.66,1866.0,20,20,0,14,3,17,3,2
"41.68,-87.67",41.68,-87.67,788.0,20,20,1,20,4,19,4,6
"41.68,-87.68",41.68,-87.68,370.0,20,20,1,20,3,15,5,5
"41.68,-87.69",41.68,-87.69,25.0,20,19,3,20,3,12,7,8
"41.68,-87.7",41.68,-87.7,13.0,20,13,3,8,1,10,8,6
"41.68,-87.71",41.68,-87.71,91.0,20,15,5,19,2,11,6,7
"41.68,-87.72",41.68,-87.72,96.0,20,17,4,17,2,12,5,6
"41.68,-87.73",41.68,-87.73,8.0,20,19,2,20,3,10,5,4
"41.68,-87.74",41.68,-87.74,1.0,20,13,0,9,1,10,5,0
"41.69,-87.52",41.69,-87.52,8.0,20,7,0,10,4,8,3,1
"41.69,-87.53",41.69,-87.53,238.0,20,5,0,13,5,9,4,0
"41.69,-87.54",41.69,-87.54,1058.0,13,5,0,10,2,7,4,0
"41.69,-87.55",41.69,-87.55,3.0,7,5,1,4,1,4,3,0
"41.69,-87.56",41.69,-87.56,21.0,4,2,2,1,0,6,0,1
"41.69,-87.58",41.69,-87.58,7.0,1,1,0,0,0,5,0,0
"41.69,-87.6",41.69,-87.6,1231.0,11,17,1,6,2,16,4,0
"41.69,-87.61",41.69,-87.61,2281.0,20,20,1,13,3,18,7,2
"41.69,-87.62",41.69,-87.62,8420.0,20,20,1,13,2,17,6,2
"41.69,-87.63",41.69,-87.63,4750.0,20,20,1,17,3,1,7,4
"41.69,-87.64",41.69,-87.64,4393.0,20,20,0,18,3,9,4,5
"41.69,-87.65",41.69,-87.65,2143.0,20,20,0,14,4,17,3,5
"41.69,-87.66",41.69,-87.66,2715.0,20,20,0,13,2,20,3,3
"41.69,-87.67",41.69,-87.67,1737.0,20,20,1,17,3,20,5,5
"41.69,-87.68",41.69,-87.68,699.0,20,17,2,19,3,20,10,5
"41.69,-87.69",41.69,-87.69,176.0,20,19,3,19,2,15,13,9
"41.69,-87.7",41.69,-87.7,653.0,20,13,5,11,0,7,10,9
"41.69,-87.71",41.69,-87.71,349.0,20,12,5,15,0,5,10,9
"41.69,-87.72",41.69,-87.72,201.0,20,18,5,15,0,8,6,7
"41.69,-87.73",41.69,-87.73,2.0,20,20,3,19,1,11,3,6
"41.69,-87.74",41.69,-87.74,2.0,20,17,0,17,1,6,2,6
"41.7,-87.52",41.7,-87.52,34.0,20,7,0,11,4,7,4,0
"41.7,-87.53",41.7,-87.53,925.0,20,9,0,11,4,9,4,0
"41.7,-87.54",41.7,-87.54,1610.0,20,9,0,10,3,8,4,0
"41.7,-87.55",41.7,-87.55,47.0,20,6,2,12,1,4,4,1
"41.7,-87.56",41.7,-87.56,1787.0,15,5,2,4,0,7,2,1
"41.7,-87.57",41.7,-87.57,299.0,10,5,6,4,0,6,2,1
"41.7,-87.58",41.7,-87.58,7.0,3,4,5,0,0,3,2,1
"41.7,-87.59",41.7,-87.59,6.0,9,8,5,5,2,4,1,0
"41.7,-87.6",41.7,-87.6,1460.0,16,16,1,8,2,16,2,0
"41.7,-87.61",41.7,-87.61,1825.0,20,20,0,18,3,17,6,3
"41.7,-87.62",41.7,-87.62,5934.0,20,20,0,17,2,16,6,3
"41.7,-87.63",41.7,-87.63,4849.0,20,20,0,19,3,7,8,5
"41.7,-87.64",41.7,-87.64,1653.0,20,20,0,15,2,10,3,5
"41.7,-87.65",41.7,-87.65,1520.0,20,20,0,10,2,12,3,3
"41.7,-87.66",41.7,-87.66,809.0,16,20,0,9,3,20,4,3
"41.7,-87.67",41.7,-87.67,310.0,20,20,1,20,2,20,9,6
"41.7,-87.68",41.7,-87.68,488.0,20,20,1,20,1,18,7,4
"41.7,-87.69",41.7,-87.69,104.0,20,20,1,20,1,12,12,6
"41.7,-87.7",41.7,-87.7,285.0,20,16,1,20,1,10,15,3
"41.7,-87.71",41.7,-87.71,193.0,20,20,3,20,0,6,12,7
"41.7,-87.72",41.7,-87.72,111.0,19,20,3,11,0,5,7,5
"41.71,-87.53",41.71,-87.53,399.0,20,8,0,10,4,8,5,0
"41.71,-87.54",41.71,-87.54,1381.0,20,10,0,12,4,10,5,0
"41.71,-87.55",41.71,-87.55,376.0,20,17,1,15,1,10,4,1
"41.71,-87.56",41.71,-87.56,1213.0,17,14,1,9,2,13,2,3
"41.71,-87.57",41.71,-87.57,1490.0,20,14,6,9,2,13,2,4
"41.71,-87.58",41.71,-87.58,221.0,15,9,5,8,0,8,2,1
"41.71,-87.59",41.71,-87.59,263.0,12,9,5,7,0,6,2,1
"41.71,-87.6",41.71,-87.6,1525.0,20,19,7,9,1,5,4,1
"41.71,-87.61",41.71,-87.61,1484.0,20,20,2,12,1,7,3,2
"41.71,-87.62",41.71,-87.62,5290.0,20,20,10,14,2,11,3,1
"41.71,-87.63",41.71,-87.63,4609.0,20,20,10,19,3,10,4,2
"41.71,-87.64",41.71,-87.64,2934.0,20,20,0,13,2,10,5,4
"41.71,-87.65",41.71,-87.65,3007.0,20,20,1,9,3,14,8,3
"41.71,-87.66",41.71,-87.66,1046.0,20,20,2,16,2,14,6,1
"41.71,-87.67",41.71,-87.67,408.0,20,20,3,20,1,13,12,3
"41.71,-87.68",41.71,-87.68,635.0,20,20,1,20,4,12,13,4
"41.71,-87.69",41.71,-87.69,172.0,20,20,2,20,3,10,9,9
"41.71,-87.7",41.71,-87.7,324.0,20,20,2,20,1,12,7,6
"41.71,-87.71",41.71,-87.71,125.0,20,20,3,20,2,9,4,5
"41.71,-87.72",41.71,-87.72,154.0,20,20,1,20,3,9,5,16
"41.72,-87.53",41.72,-87.53,479.0,16,5,0,2,1,5,4,0
"41.72,-87.54",41.72,-87.54,1415.0,20,17,0,14,4,8,4,1
"41.72,-87.55",41.72,-87.55,863.0,20,20,2,18,6,14,3,5
"41.72,-87.56",41.72,-87.56,724.0,20,20,2,20,5,17,3,20
"41.72,-87.57",41.72,-87.57,1554.0,20,20,6,17,2,14,1,20
"41.72,-87.58",41.72,-87.58,1520.0,20,19,5,13,3,13,0,20
"41.72,-87.59",41.72,-87.59,462.0,20,19,7,16,1,6,4,3
"41.72,-87.6",41.72,-87.6,1046.0,20,20,3,13,0,7,5,3
"41.72,-87.61",41.72,-87.61,845.0,20,20,12,14,1,9,5,3
"41.72,-87.62",41.72,-87.62,4601.0,20,20,12,16,2,10,4,3
"41.72,-87.63",41.72,-87.63,4268.0,20,20,10,12,2,12,2,1
"41.72,-87.64",41.72,-87.64,2307.0,20,20,10,9,3,11,5,1
"41.72,-87.65",41.72,-87.65,1342.0,20,20,2,15,2,10,6,1
"41.72,-87.66",41.72,-87.66,3303.0,20,20,2,16,1,10,8,2
"41.72,-87.67",41.72,-87.67,334.0,20,20,3,20,5,9,12,4
"41.72,-87.68",41.72,-87.68,410.0,20,20,3,20,4,13,11,8
"41.72,-87.74",41.72,-87.74,0.0,20,20,1,20,3,16,6,20
"41.73,-87.54",41.73,-87.54,661.0,20,20,1,14,3,12,6,1
"41.73,-87.55",41.73,-87.55,6218.0,20,20,2,18,3,18,3,20
"41.73,-87.56",41.73,-87.56,2528.0,20,20,2,20,5,17,4,20
"41.73,-87.57",41.73,-87.57,1284.0,20,20,2,20,6,13,4,20
"41.73,-87.58",41.73,-87.58,809.0,20,20,0,20,4,7,2,20
"41.73,-87.59",41.73,-87.59,2261.0,20,20,2,20,2,9,8,4
"41.73,-87.6",41.73,-87.6,3481.0,20,20,2,20,3,11,7,5
"41.73,-87.61",41.73,-87.61,1681.0,20,20,14,20,1,12,6,5
"41.73,-87.62",41.73,-87.62,724.0,20,20,14,20,4,12,2,2
"41.73,-87.63",41.73,-87.63,1220.0,20,20,12,20,4,8,3,1
"41.73,-87.64",41.73,-87.64,2140.0,20,20,9,20,5,9,5,1
"41.73,-87.65",41.73,-87.65,1713.0,20,20,3,18,3,14,4,2
"41.73,-87.66",41.73,-87.66,3834.0,20,20,4,19,3,15,7,2
"41.73,-87.67",41.73,-87.67,736.0,20,20,6,20,4,15,9,2
"41.73,-87.68",41.73,-87.68,129.0,20,20,3,20,5,13,6,7
"41.73,-87.71",41.73,-87.71,1.0,20,20,2,20,3,16,3,2
"41.73,-87.72",41.73,-87.72,32.0,20,20,1,20,5,14,1,20
"41.73,-87.73",41.73,-87.73,21.0,20,20,2,20,5,15,6,20
"41.73,-87.74",41.73,-87.74,23.0,20,20,2,20,3,15,8,20
"41.74,-87.53",41.74,-87.53,0.0,1,6,1,0,0,7,0,0
"41.74,-87.54",41.74,-87.54,969.0,20,20,1,6,4,13,4,1
"41.74,-87.55",41.74,-87.55,6112.0,20,20,2,15,5,16,4,1
"41.74,-87.56",41.74,-87.56,5062.0,20,20,3,20,6,17,5,6
"41.74,-87.57",41.74,-87.57,2180.0,20,20,0,20,5,9,5,20
"41.74,-87.58",41.74,-87.58,1640.0,20,20,0,20,4,8,5,5
"41.74,-87.59",41.74,-87.59,1485.0,20,20,0,20,4,13,7,5
"41.74,-87.6",41.74,-87.6,5364.0,20,20,2,20,4,11,6,7
"41.74,-87.61",41.74,-87.61,2128.0,20,20,4,20,3,12,5,7
"41.74,-87.62",41.74,-87.62,1618.0,20,20,8,20,5,8,4,5
"41.74,-87.63",41.74,-87.63,7003.0,20,20,11,20,5,11,2,2
"41.74,-87.64",41.74,-87.64,3164.0,20,20,8,20,4,13,2,2
"41.74,-87.65",41.74,-87.65,5824.0,20,20,3,20,6,17,4,3
"41.74,-87.66",41.74,-87.66,4954.0,20,20,2,20,4,19,3,2
"41.74,-87.67",41.74,-87.67,1740.0,20,20,7,19,4,14,1,5
"41.74,-87.68",41.74,-87.68,247.0,20,20,7,19,2,14,2,5
"41.74,-87.69",41.74,-87.69,318.0,20,20,7,10,1,12,2,3
"41.74,-87.7",41.74,-87.7,1045.0,20,20,0,11,1,10,2,2
"41.74,-87.71",41.74,-87.71,472.0,20,20,0,18,2,14,2,1
"41.74,-87.72",41.74,-87.72,892.0,20,20,0,16,2,10,4,1
"41.74,-87.73",41.74,-87.73,538.0,20,16,3,20,5,12,5,20
"41.74,-87.74",41.74,-87.74,384.0,20,17,3,20,6,13,5,20
"41.75,-87.54",41.75,-87.54,45.0,15,12,1,1,2,9,2,0
"41.75,-87.55",41.75,-87.55,6624.0,20,20,2,8,3,13,6,4
"41.75,-87.56",41.75,-87.56,9691.0,20,20,2,16,5,11,6,4
"41.75,-87.57",41.75,-87.57,4043.0,20,20,1,20,7,6,3,7
"41.75,-87.58",41.75,-87.58,4567.0,20,20,1,20,8,13,6,9
"41.75,-87.59",41.75,-87.59,2788.0,20,20,1,20,7,15,8,8
"41.75,-87.6",41.75,-87.6,12076.0,20,20,4,20,5,16,7,9
"41.75,-87.61",41.75,-87.61,8827.0,20,20,9,20,5,13,6,7
"41.75,-87.62",41.75,-87.62,2278.0,20,20,14,20,9,7,3,6
"41.75,-87.63",41.75,-87.63,6383.0,20,20,14,20,7,14,3,4
"41.75,-87.64",41.75,-87.64,7770.0,20,20,10,20,5,20,5,1
"41.75,-87.65",41.75,-87.65,6572.0,20,20,5,20,6,18,4,2
"41.75,-87.66",41.75,-87.66,9882.0,20,20,4,20,7,16,3,3
"41.75,-87.67",41.75,-87.67,5817.0,20,20,7,20,6,10,2,5
"41.75,-87.68",41.75,-87.68,1335.0,20,20,6,15,4,7,0,5
"41.75,-87.69",41.75,-87.69,632.0,20,20,5,8,1,5,1,4
"41.75,-87.7",41.75,-87.7,1008.0,20,20,4,7,0,2,1,3
"41.75,-87.71",41.75,-87.71,1228.0,20,20,0,9,1,3,1,0
"41.75,-87.72",41.75,-87.72,1685.0,20,20,0,11,2,5,2,1
"41.75,-87.73",41.75,-87.73,572.0,20,20,1,20,5,5,4,20
"41.75,-87.74",41.75,-87.74,5616.0,20,19,2,20,6,7,5,20
"41.76,-87.54",41.76,-87.54,17.0,8,8,1,3,0,6,3,0
"41.76,-87.55",41.76,-87.55,813.0,20,20,1,9,2,10,3,3
"41.76,-87.56",41.76,-87.56,9898.0,20,20,1,20,6,15,4,8
"41.76,-87.57",41.76,-87.57,3613.0,20,20,4,20,9,18,6,11
"41.76,-87.58",41.76,-87.58,4820.0,20,20,2,20,8,20,4,13
"41.76,-87.59",41.76,-87.59,6225.0,20,20,2,20,7,20,6,8
"41.76,-87.6",41.76,-87.6,2890.0,20,20,4,20,7,20,5,9
"41.76,-87.61",41.76,-87.61,4954.0,20,20,6,20,6,13,3,5
"41.76,-87.62",41.76,-87.62,4326.0,20,20,15,20,7,8,3,4
"41.76,-87.63",41.76,-87.63,5153.0,20,20,16,20,5,16,3,1
"41.76,-87.64",41.76,-87.64,7696.0,20,20,15,20,7,19,4,2
"41.76,-87.65",41.76,-87.65,6333.0,20,20,4,20,6,20,4,3
"41.76,-87.66",41.76,-87.66,5066.0,20,20,2,20,5,10,2,3
"41.76,-87.67",41.76,-87.67,3121.0,20,20,7,20,6,7,0,2
"41.76,-87.68",41.76,-87.68,3136.0,20,20,7,20,4,4,0,7
"41.76,-87.69",41.76,-87.69,2182.0,20,20,6,13,0,5,1,4
"41.76,-87.7",41.76,-87.7,1126.0,20,20,1,10,0,7,2,3
"41.76,-87.71",41.76,-87.71,704.0,20,20,0,10,1,8,4,1
"41.76,-87.72",41.76,-87.72,1038.0,20,16,0,12,3,9,3,1
"41.76,-87.73",41.76,-87.73,40.0,20,12,2,20,8,5,2,2
"41.76,-87.74",41.76,-87.74,39.0,20,13,2,20,8,5,1,20
"41.77,-87.56",41.77,-87.56,154.0,20,20,2,20,3,15,3,5
"41.77,-87.57",41.77,-87.57,6780.0,20,20,4,20,3,20,6,6
"41.77,-87.58",41.77,-87.58,8230.0,20,20,4,20,5,20,11,8
"41.77,-87.59",41.77,-87.59,6542.0,20,20,3,20,6,20,9,5
"41.77,-87.6",41.77,-87.6,2088.0,20,20,3,20,6,20,11,2
"41.77,-87.61",41.77,-87.61,8862.0,20,20,7,19,8,20,5,2
"41.77,-87.62",41.77,-87.62,6865.0,20,20,9,20,7,12,1,5
"41.77,-87.63",41.77,-87.63,5087.0,20,20,10,20,7,17,3,3
"41.77,-87.64",41.77,-87.64,8953.0,20,20,7,20,7,20,3,4
"41.77,-87.65",41.77,-87.65,6745.0,20,20,4,20,6,14,2,1
"41.77,-87.66",41.77,-87.66,8941.0,20,20,4,20,6,10,1,2
"41.77,-87.67",41.77,-87.67,8354.0,20,20,7,20,3,9,0,2
"41.77,-87.68",41.77,-87.68,6103.0,20,20,5,20,4,9,0,5
"41.77,-87.69",41.77,-87.69,5287.0,20,20,4,20,3,9,2,5
"41.77,-87.7",41.77,-87.7,1854.0,20,20,2,20,4,8,4,4
"41.77,-87.71",41.77,-87.71,696.0,20,20,1,20,5,7,5,5
"41.77,-87.72",41.77,-87.72,1148.0,20,20,1,20,7,11,8,3
"41.77,-87.73",41.77,-87.73,557.0,20,20,3,20,10,5,5,3
"41.77,-87.74",41.77,-87.74,235.0,20,10,3,20,8,7,3,4
"41.77,-87.75",41.77,-87.75,5.0,20,7,3,16,8,6,2,1
"41.77,-87.76",41.77,-87.76,47.0,20,8,1,11,4,5,2,1
"41.77,-87.77",41.77,-87.77,17.0,20,5,2,10,2,3,2,1
"41.77,-87.78",41.77,-87.78,85.0,20,8,1,8,2,3,2,1
"41.77,-87.79",41.77,-87.79,70.0,20,10,2,10,2,2,2,0
"41.77,-87.8",41.77,-87.8,12.0,20,19,2,18,3,2,2,0
"41.78,-87.57",41.78,-87.57,164.0,17,11,2,14,1,20,8,5
"41.78,-87.58",41.78,-87.58,334.0,20,20,3,17,0,20,10,3
"41.78,-87.59",41.78,-87.59,3097.0,20,20,2,20,2,20,14,13
"41.78,-87.6",41.78,-87.6,3640.0,20,20,1,19,4,20,15,20
"41.78,-87.61",41.78,-87.61,15483.0,20,20,0,13,4,20,9,20
"41.78,-87.62",41.78,-87.62,12785.0,20,20,7,20,5,20,8,10
"41.78,-87.63",41.78,-87.63,2395.0,20,20,8,20,5,20,2,4
"41.78,-87.64",41.78,-87.64,5521.0,20,20,2,20,5,20,1,3
"41.78,-87.65",41.78,-87.65,6948.0,20,20,5,20,7,18,0,5
"41.78,-87.66",41.78,-87.66,8705.0,20,20,4,20,7,15,0,2
"41.78,-87.67",41.78,-87.67,8227.0,20,20,5,20,8,13,1,3
"41.78,-87.68",41.78,-87.68,7196.0,20,20,4,20,5,13,2,6
"41.78,-87.69",41.78,-87.69,9303.0,20,20,3,20,7,6,7,5
"41.78,-87.7",41.78,-87.7,7627.0,20,20,3,20,7,5,7,5
"41.78,-87.71",41.78,-87.71,2718.0,20,20,1,20,8,6,10,3
"41.78,-87.72",41.78,-87.72,2146.0,20,20,2,20,7,6,8,6
"41.78,-87.73",41.78,-87.73,1143.0,20,20,5,20,6,7,6,6
"41.78,-87.74",41.78,-87.74,825.0,20,20,7,19,7,8,5,2
"41.78,-87.75",41.78,-87.75,243.0,20,11,9,10,4,7,3,0
"41.78,-87.76",41.78,-87.76,1053.0,20,11,6,12,1,5,3,1
"41.78,-87.77",41.78,-87.77,1036.0,20,9,4,17,2,6,4,3
"41.78,-87.78",41.78,-87.78,637.0,20,12,2,17,3,7,8,3
"41.78,-87.79",41.78,-87.79,447.0,20,20,2,20,3,4,6,0
"41.78,-87.8",41.78,-87.8,131.0,20,20,4,20,5,3,2,0
"41.79,-87.58",41.79,-87.58,314.0,20,20,2,20,3,20,19,3
"41.79,-87.59",41.79,-87.59,562.0,20,20,2,20,4,20,20,20
"41.79,-87.6",41.79,-87.6,1032.0,20,20,2,20,4,20,20,20
"41.79,-87.61",41.79,-87.61,1573.0,20,20,7,20,4,20,11,20
"41.79,-87.62",41.79,-87.62,9266.0,20,20,10,20,4,20,9,20
"41.79,-87.63",41.79,-87.63,5981.0,20,20,5,20,4,20,5,6
"41.79,-87.64",41.79,-87.64,4583.0,20,20,5,20,5,20,1,4
"41.79,-87.65",41.79,-87.65,10725.0,20,20,2,20,6,20,3,1
"41.79,-87.66",41.79,-87.66,11041.0,20,20,3,20,6,19,2,2
"41.79,-87.67",41.79,-87.67,6614.0,20,20,2,18,4,16,5,2
"41.79,-87.68",41.79,-87.68,2187.0,20,20,1,17,6,14,3,4
"41.79,-87.69",41.79,-87.69,5827.0,20,20,1,20,8,6,6,3
"41.79,-87.7",41.79,-87.7,4053.0,20,20,1,20,8,3,8,2
"41.79,-87.71",41.79,-87.71,2087.0,20,20,2,20,10,1,10,4
"41.79,-87.72",41.79,-87.72,1939.0,20,20,9,20,8,6,11,6
"41.79,-87.73",41.79,-87.73,897.0,20,20,12,20,6,6,10,6
"41.79,-87.74",41.79,-87.74,2222.0,20,20,10,20,4,6,7,6
"41.79,-87.75",41.79,-87.75,154.0,20,13,11,19,1,8,3,0
"41.79,-87.76",41.79,-87.76,226.0,20,15,7,19,3,3,5,5
"41.79,-87.77",41.79,-87.77,776.0,20,17,6,20,3,5,8,5
"41.79,-87.78",41.79,-87.78,1164.0,20,16,3,20,2,5,7,4
"41.79,-87.79",41.79,-87.79,475.0,20,20,1,20,4,8,8,2
